rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
1,Ainsley Maitland-Niles,ENG,"MF,DF",Arsenal,ENG-Premier League,22.0,1997.0,11,490,0,0,0,0,0,0.1,0.1,12.0,24.0,0.0,0.0,11.0,7.0,66.7,2.0,10.0,14.0,7.0,1.0,0,0.0,0,0.0,0,0.0,0.0,226.0,291.0,77.7,985.0,89.8,77.2,53.3,2.0,19.0,4.0,18.0,10.0,60.0,4.0,12.0,10.0,3.0,10.0,0,2.0,50.0,0.37,0.0,0.0,50.0,2.02,0.37,0,2020-21,29.0
2,Alexandre Lacazette,FRA,FW,Arsenal,ENG-Premier League,29.0,1991.0,31,1923,13,2,15,10,3,11.7,9.3,15.0,55.0,0.61,0.09,18.0,10.0,18.2,1.0,19.0,12.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,405.0,523.0,77.4,1193.0,80.9,82.3,64.3,22.0,32.0,19.0,15.0,36.0,61.1,14.0,15.0,10.0,9.0,50.0,13,42.0,59.5,1.97,0.24,0.4,30.7,2.57,0.23,0,2020-21,35.0
3,Bernd Leno,GER,GK,Arsenal,ENG-Premier League,28.0,1992.0,35,3131,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,11.0,2.0,0,0.0,0,0.0,0,0.0,0.0,948.0,1182.0,80.2,12493.0,100.0,98.8,39.2,0.0,3.0,0.0,1019.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,,100.0,0.03,0.0,0,2020-21,34.0
4,Bukayo Saka,ENG,"FW,MF",Arsenal,ENG-Premier League,18.0,2001.0,32,2553,5,3,8,5,0,6.9,6.9,85.0,101.0,0.18,0.11,25.0,16.0,27.5,2.0,19.0,25.0,24.0,0.0,0,0.0,0,0.0,0,0.0,0.0,858.0,1161.0,73.9,2855.0,86.6,74.2,34.5,38.0,55.0,31.0,39.0,87.0,52.9,41.0,85.0,53.0,36.0,75.0,5,61.0,32.8,2.15,0.08,0.25,23.6,3.81,0.42,0,2020-21,25.0
5,Calum Chambers,ENG,DF,Arsenal,ENG-Premier League,25.0,1995.0,10,753,0,2,2,0,0,0.4,0.4,16.0,40.0,0.0,0.24,7.0,3.0,37.5,2.0,4.0,10.0,37.0,0.0,0,0.0,0,0.0,0,0.0,0.0,466.0,593.0,78.6,2180.0,86.5,81.3,47.5,11.0,29.0,12.0,42.0,10.0,40.0,6.0,16.0,12.0,0.0,7.0,0,8.0,0.0,0.96,0.0,,52.6,2.03,0.24,0,2020-21,31.0
6,Cédric Soares,POR,DF,Arsenal,ENG-Premier League,28.0,1991.0,10,746,0,1,1,0,0,0.3,0.3,21.0,46.0,0.0,0.12,12.0,8.0,28.6,1.0,5.0,8.0,16.0,1.0,0,0.0,0,0.0,0,0.0,0.0,349.0,469.0,74.4,1901.0,87.8,71.1,42.0,6.0,33.0,6.0,21.0,11.0,45.5,6.0,21.0,10.0,6.0,10.0,0,7.0,28.6,0.84,0.0,0.0,36.8,1.81,0.24,0,2020-21,35.0
7,Dani Ceballos,ESP,MF,Arsenal,ENG-Premier League,23.0,1996.0,25,1615,0,3,3,0,0,0.6,0.6,54.0,150.0,0.0,0.17,37.0,22.0,41.2,6.0,17.0,35.0,14.0,1.0,0,0.0,0,0.0,0,0.0,0.0,1126.0,1310.0,86.0,5172.0,90.2,91.4,71.5,27.0,125.0,18.0,61.0,38.0,68.4,12.0,54.0,49.0,3.0,23.0,0,13.0,15.4,0.72,0.0,0.0,38.1,3.79,0.28,0,2020-21,30.0
8,David Luiz,BRA,DF,Arsenal,ENG-Premier League,33.0,1987.0,20,1396,1,0,1,1,0,0.9,0.9,22.0,68.0,0.06,0.0,12.0,9.0,100.0,9.0,7.0,16.0,50.0,2.0,0,0.0,0,0.0,0,0.0,0.0,836.0,1013.0,82.5,5726.0,91.4,92.4,53.1,2.0,66.0,9.0,129.0,4.0,75.0,1.0,22.0,15.0,2.0,4.0,1,15.0,13.3,0.97,0.07,0.5,72.9,0.9,0.0,0,2020-21,39.0
9,Eddie Nketiah,ENG,FW,Arsenal,ENG-Premier League,21.0,1999.0,17,423,2,1,3,2,0,1.8,1.8,6.0,6.0,0.43,0.21,3.0,1.0,0.0,0.0,6.0,0.0,5.0,0.0,0,0.0,0,0.0,0,0.0,0.0,76.0,93.0,81.7,94.0,85.5,80.0,100.0,8.0,4.0,2.0,5.0,12.0,58.3,5.0,6.0,1.0,3.0,13.0,2,12.0,41.7,2.55,0.17,0.4,30.4,2.35,0.21,0,2020-21,27.0
10,Emile Smith Rowe,ENG,"MF,FW",Arsenal,ENG-Premier League,20.0,2000.0,20,1440,2,4,6,2,0,1.8,1.8,51.0,68.0,0.12,0.25,14.0,7.0,35.3,1.0,14.0,10.0,12.0,0.0,0,0.0,0,0.0,0,0.0,0.0,648.0,746.0,86.9,1644.0,91.5,91.6,67.7,27.0,45.0,14.0,15.0,30.0,33.3,20.0,51.0,20.0,13.0,38.0,2,13.0,30.8,0.81,0.15,0.5,28.6,3.06,0.44,0,2020-21,26.0
