player,comp,season,Progressive Passes,Key passes,Pass completion %,Shot creating actions p 90,1/3,Matches Played,Avg Mins per Match
Lewis Dunk,Premier League,2017-18,54.0,11.0,77.8,0.84,65.0,38,90.0
Liam Rosenior,Premier League,2017-18,5.0,0.0,67.4,0.0,4.0,3,54.666666666666664
Markus Suttner,Premier League,2017-18,56.0,6.0,71.0,1.3,39.0,14,84.21428571428571
Mathew Ryan,Premier League,2017-18,0.0,0.0,52.7,0.08,24.0,38,90.0
Pascal Groß,Premier League,2017-18,153.0,82.0,68.1,4.12,86.0,38,77.05263157894737
Sam Baldock,Premier League,2017-18,0.0,0.0,57.1,2.81,0.0,2,16.0
Shane Duffy,Premier League,2017-18,39.0,8.0,76.4,0.36,35.0,37,88.97297297297297
Solly March,Premier League,2017-18,60.0,18.0,68.3,2.34,33.0,36,51.416666666666664
Tomer Hemed,Premier League,2017-18,13.0,3.0,61.6,0.74,8.0,16,53.0625
Uwe Hünemeier,Premier League,2017-18,0.0,0.0,25.0,0.0,0.0,1,18.0
Aaron Lennon,Premier League,2017-18,28.0,7.0,66.2,1.77,14.0,14,79.85714285714286
Aiden O'Neill,Premier League,2017-18,,,,,,1,1.0
Ashley Barnes,Premier League,2017-18,34.0,17.0,59.5,2.12,22.0,36,60.138888888888886
Ashley Westwood,Premier League,2017-18,69.0,8.0,80.0,1.38,52.0,19,58.473684210526315
Ben Mee,Premier League,2017-18,77.0,6.0,75.8,0.9,58.0,29,90.0
Charlie Taylor,Premier League,2017-18,23.0,4.0,68.3,1.23,15.0,11,86.36363636363636
Chris Wood,Premier League,2017-18,16.0,11.0,59.0,1.61,10.0,24,67.66666666666667
Georges-Kévin N'Koudou,Premier League,2017-18,5.0,1.0,69.8,2.37,7.0,8,28.5
Jack Cork,Premier League,2017-18,165.0,19.0,79.7,1.76,127.0,38,90.0
James Tarkowski,Premier League,2017-18,59.0,7.0,72.6,0.74,64.0,31,90.0
Jeff Hendrick,Premier League,2017-18,80.0,26.0,79.3,1.97,62.0,34,68.55882352941177
Jonathan Walters,Premier League,2017-18,1.0,0.0,36.4,0.0,0.0,3,13.0
Jóhann Berg Guðmundsson,Premier League,2017-18,75.0,67.0,64.3,3.72,40.0,35,80.94285714285714
Kevin Long,Premier League,2017-18,28.0,6.0,71.2,0.62,23.0,16,90.0
Matthew Lowton,Premier League,2017-18,82.0,14.0,66.9,1.33,78.0,26,88.26923076923077
Nahki Wells,Premier League,2017-18,1.0,0.0,88.9,1.64,0.0,9,6.111111111111111
Nick Pope,Premier League,2017-18,0.0,4.0,44.6,0.32,74.0,35,89.0
Phil Bardsley,Premier League,2017-18,53.0,5.0,67.1,1.12,55.0,13,86.53846153846153
Robbie Brady,Premier League,2017-18,54.0,26.0,59.7,4.16,39.0,15,85.13333333333334
Sam Vokes,Premier League,2017-18,17.0,8.0,48.7,1.8,18.0,30,33.266666666666666
Scott Arfield,Premier League,2017-18,32.0,7.0,67.3,1.49,25.0,18,74.05555555555556
Stephen Ward,Premier League,2017-18,87.0,16.0,66.9,0.88,96.0,28,87.85714285714286
