player,comp,season,Progressive Passes,Key passes,Pass completion %,Shot creating actions p 90,1/3,Matches Played,Avg Mins per Match
Papakouli Diop,La Liga,2017-18,9.0,2.0,78.8,1.36,13.0,5,52.8
Pau López,La Liga,2017-18,0.0,2.0,56.9,0.18,16.0,29,88.51724137931035
Sergi Darder,La Liga,2017-18,191.0,28.0,80.5,2.14,162.0,35,79.48571428571428
Sergio García,La Liga,2017-18,61.0,27.0,71.0,3.29,29.0,33,49.72727272727273
Sergio Sánchez,La Liga,2017-18,3.0,0.0,68.3,1.78,2.0,2,50.5
Víctor Sánchez,La Liga,2017-18,101.0,5.0,71.7,0.88,93.0,30,81.9
Óscar Duarte,La Liga,2017-18,20.0,0.0,78.7,0.55,15.0,11,90.0
Óscar Melendo,La Liga,2017-18,35.0,9.0,81.9,3.28,30.0,18,38.111111111111114
Alberto Redondo,La Liga,2017-18,1.0,0.0,42.4,1.0,2.0,1,90.0
Amath,La Liga,2017-18,66.0,23.0,65.4,1.92,47.0,37,77.27027027027027
Barri,La Liga,2017-18,4.0,0.0,62.5,1.59,2.0,2,56.5
Bruno González,La Liga,2017-18,8.0,4.0,65.9,0.41,4.0,20,77.0
Cala,La Liga,2017-18,42.0,6.0,63.2,0.45,44.0,20,90.0
Carlos Calderón,La Liga,2017-18,0.0,0.0,100.0,0.0,0.0,1,4.0
Damián Suárez,La Liga,2017-18,152.0,36.0,69.2,2.41,121.0,33,87.18181818181819
Daniel Pacheco,La Liga,2017-18,7.0,6.0,60.8,5.66,8.0,11,15.909090909090908
David Alba,La Liga,2017-18,2.0,0.0,77.8,0.0,2.0,1,61.0
Djené,La Liga,2017-18,60.0,3.0,69.4,0.33,47.0,36,89.97222222222223
Emiliano Martínez,La Liga,2017-18,0.0,0.0,45.8,0.2,8.0,5,90.0
Fayçal Fajr,La Liga,2017-18,89.0,34.0,69.1,2.42,74.0,31,76.93548387096774
Francisco Molinero,La Liga,2017-18,26.0,3.0,71.2,1.55,22.0,10,57.9
Francisco Portillo,La Liga,2017-18,158.0,23.0,72.5,2.34,101.0,33,74.54545454545455
Gaku Shibasaki,La Liga,2017-18,28.0,9.0,71.7,2.43,24.0,22,45.54545454545455
Hugo Duro,La Liga,2017-18,0.0,0.0,100.0,0.0,0.0,2,9.5
Jefferson Montero,La Liga,2017-18,1.0,0.0,50.0,0.0,1.0,4,14.5
Jorge Molina,La Liga,2017-18,72.0,33.0,58.1,2.84,54.0,36,77.38888888888889
Leandro Cabrera,La Liga,2017-18,32.0,2.0,50.8,1.13,29.0,9,80.0
Loïc Rémy,La Liga,2017-18,6.0,0.0,68.5,1.58,2.0,11,41.54545454545455
Markel Bergara,La Liga,2017-18,28.0,2.0,70.0,0.55,19.0,18,81.27777777777777
Mathieu Flamini,La Liga,2017-18,11.0,1.0,66.2,0.56,7.0,8,60.0
Mathías Olivera,La Liga,2017-18,1.0,1.0,35.5,1.75,0.0,3,34.333333333333336
Mauro Arambarri,La Liga,2017-18,76.0,9.0,69.2,1.06,53.0,27,78.66666666666667
Mehdi Lacen,La Liga,2017-18,4.0,0.0,81.5,0.0,4.0,4,15.5
Merveille Ndockyt,La Liga,2017-18,2.0,0.0,64.0,1.32,2.0,6,11.333333333333334
Miguel Ángel Rubio,La Liga,2017-18,1.0,0.0,30.0,0.0,0.0,1,29.0
Sergio Mora,La Liga,2017-18,49.0,6.0,75.3,1.22,32.0,26,31.26923076923077
Vicente Guaita,La Liga,2017-18,0.0,1.0,42.8,0.06,49.0,33,90.0
Vitorino Antunes,La Liga,2017-18,116.0,28.0,63.1,1.9,89.0,34,82.32352941176471
Álvaro Jiménez,La Liga,2017-18,17.0,7.0,56.2,3.23,11.0,13,40.69230769230769
Ángel Rodríguez,La Liga,2017-18,33.0,18.0,66.3,1.84,26.0,33,69.48484848484848
Aday,La Liga,2017-18,61.0,20.0,70.5,2.75,36.0,31,59.193548387096776
Aleix García,La Liga,2017-18,41.0,12.0,80.4,2.75,35.0,20,42.6
Anthony Lozano,La Liga,2017-18,11.0,4.0,62.8,1.72,4.0,14,33.642857142857146
Bernardo Espinosa,La Liga,2017-18,42.0,7.0,81.6,0.63,43.0,34,84.3529411764706
Borja García,La Liga,2017-18,179.0,55.0,81.4,4.09,135.0,37,75.62162162162163
Carles Planas,La Liga,2017-18,4.0,4.0,69.8,2.36,3.0,5,38.4
Cristhian Stuani,La Liga,2017-18,35.0,13.0,65.8,1.46,24.0,33,82.12121212121212
David Timor,La Liga,2017-18,51.0,6.0,80.6,1.17,45.0,17,54.411764705882355
Douglas Luiz,La Liga,2017-18,18.0,3.0,74.3,2.62,11.0,15,20.6
Eloi Amagat,La Liga,2017-18,3.0,0.0,88.9,0.0,2.0,2,7.5
Gorka Iraizoz,La Liga,2017-18,1.0,0.0,58.2,0.24,16.0,9,85.0
Johan Mojica,La Liga,2017-18,48.0,23.0,73.5,2.57,26.0,30,71.16666666666667
Jonás Ramalho,La Liga,2017-18,59.0,5.0,74.0,0.59,51.0,26,88.38461538461539
Juanpe,La Liga,2017-18,103.0,7.0,76.3,0.91,86.0,35,87.57142857142857
Kévin Soni,La Liga,2017-18,2.0,0.0,60.0,0.0,0.0,2,9.5
Marc Muniesa,La Liga,2017-18,50.0,1.0,79.1,0.64,39.0,13,86.6923076923077
Marlos Moreno,La Liga,2017-18,0.0,1.0,100.0,3.0,0.0,2,15.0
Michael Olunga,La Liga,2017-18,7.0,6.0,67.9,2.7,6.0,14,30.928571428571427
Olarenwaju Kayode,La Liga,2017-18,2.0,5.0,62.1,2.12,0.0,12,31.916666666666668
Pablo Maffeo,La Liga,2017-18,70.0,28.0,70.9,1.98,55.0,33,80.06060606060606
Pedro Alcalá,La Liga,2017-18,24.0,1.0,70.5,0.78,24.0,8,86.125
Pere Pons,La Liga,2017-18,116.0,11.0,79.8,1.65,86.0,31,82.54838709677419
Portu,La Liga,2017-18,74.0,39.0,71.0,2.76,50.0,37,81.0
Yassine Bounou,La Liga,2017-18,0.0,0.0,50.5,0.14,19.0,30,88.5
Álex Granell,La Liga,2017-18,214.0,75.0,75.0,4.39,186.0,34,83.76470588235294
Adrián López,La Liga,2017-18,104.0,34.0,67.5,2.96,52.0,30,78.16666666666667
Alejandro Arribas,La Liga,2017-18,11.0,0.0,83.9,0.0,5.0,3,90.0
Borja Valle,La Liga,2017-18,12.0,9.0,73.0,2.22,6.0,17,28.58823529411765
Bruno Gama,La Liga,2017-18,2.0,2.0,73.8,6.26,3.0,6,19.166666666666668
Carles Gil,La Liga,2017-18,31.0,12.0,85.1,4.73,18.0,10,47.6
Celso Borges,La Liga,2017-18,131.0,24.0,77.0,2.07,116.0,32,71.875
Costel Pantilimon,La Liga,2017-18,0.0,0.0,63.9,0.33,2.0,6,90.0
Edu Expósito,La Liga,2017-18,3.0,0.0,86.5,0.95,4.0,3,32.0
Emre Çolak,La Liga,2017-18,144.0,38.0,77.5,4.97,109.0,26,55.73076923076923
Eneko Bóveda,La Liga,2017-18,14.0,0.0,74.6,0.54,9.0,8,83.375
Fabian Schär,La Liga,2017-18,45.0,7.0,79.2,0.97,53.0,25,88.76
Federico Cartabia,La Liga,2017-18,78.0,23.0,75.7,4.83,29.0,20,66.2
Federico Valverde,La Liga,2017-18,66.0,11.0,75.4,2.04,56.0,24,51.375
Fernando Navarro,La Liga,2017-18,46.0,4.0,77.9,1.03,36.0,15,69.73333333333333
Florin Andone,La Liga,2017-18,11.0,9.0,61.0,1.27,4.0,29,56.41379310344828
Francis Uzoho,La Liga,2017-18,0.0,0.0,41.7,0.0,0.0,2,90.0
Gerard Valentín,La Liga,2017-18,3.0,0.0,63.6,0.57,2.0,3,52.666666666666664
Guilherme,La Liga,2017-18,152.0,15.0,83.8,1.57,108.0,31,85.12903225806451
Juanfran,La Liga,2017-18,157.0,31.0,71.4,1.88,130.0,35,87.34285714285714
Lucas Pérez,La Liga,2017-18,107.0,79.0,67.9,4.44,53.0,35,79.91428571428571
Luisinho,La Liga,2017-18,115.0,18.0,76.3,1.68,89.0,30,87.4
Maksym Koval,La Liga,2017-18,0.0,0.0,66.7,0.0,0.0,2,60.0
Michael Krohn-Dehli,La Liga,2017-18,42.0,1.0,83.1,1.61,33.0,11,66.18181818181819
Mujaid Sadick,La Liga,2017-18,0.0,0.0,92.7,0.0,0.0,2,53.0
Pedro Mosquera,La Liga,2017-18,84.0,9.0,79.0,1.68,84.0,23,60.69565217391305
Przemysław Tytoń,La Liga,2017-18,0.0,0.0,60.7,0.0,0.0,2,49.0
Raúl Albentosa,La Liga,2017-18,27.0,3.0,78.3,0.31,28.0,20,87.4
Rubén,La Liga,2017-18,0.0,0.0,62.1,0.22,10.0,28,88.5
Sidnei,La Liga,2017-18,44.0,5.0,83.5,0.66,24.0,21,84.66666666666667
Steve Aldo One,La Liga,2017-18,0.0,0.0,81.8,0.0,0.0,1,90.0
Sulley Muntari,La Liga,2017-18,18.0,1.0,69.6,0.44,14.0,8,50.625
Zakaria Bakkali,La Liga,2017-18,30.0,8.0,75.6,3.37,13.0,23,39.52173913043478
Alberto Aquilani,La Liga,2017-18,80.0,12.0,83.1,1.94,86.0,21,61.76190476190476
Alen Halilović,La Liga,2017-18,47.0,20.0,71.8,3.52,26.0,20,65.2
Aythami Artiles,La Liga,2017-18,1.0,0.0,85.3,0.98,3.0,3,61.333333333333336
Benito Ramírez,La Liga,2017-18,0.0,3.0,56.2,4.34,2.0,4,41.5
Borja Herrera,La Liga,2017-18,11.0,1.0,83.1,0.75,16.0,3,80.33333333333333
Dani Castellano,La Liga,2017-18,55.0,9.0,77.0,1.16,52.0,24,84.375
David García,La Liga,2017-18,32.0,4.0,80.3,0.63,18.0,11,78.18181818181819
David Simón,La Liga,2017-18,27.0,10.0,78.7,2.0,15.0,11,65.54545454545455
Erik Expósito,La Liga,2017-18,10.0,4.0,61.1,1.54,7.0,10,46.7
Fabio González,La Liga,2017-18,3.0,1.0,86.7,4.22,5.0,1,64.0
Gabriel Peñalba,La Liga,2017-18,20.0,1.0,85.6,0.95,22.0,7,81.42857142857143
Hernán,La Liga,2017-18,15.0,1.0,89.9,1.03,15.0,7,50.142857142857146
Hernán Toledo,La Liga,2017-18,15.0,6.0,65.3,3.17,6.0,15,41.6
Imoh Ezekiel,La Liga,2017-18,11.0,3.0,76.4,1.92,7.0,10,46.9
Jairo Samperio,La Liga,2017-18,18.0,4.0,61.9,1.62,6.0,11,50.54545454545455
Javi Castellano,La Liga,2017-18,60.0,3.0,89.5,0.75,52.0,23,68.08695652173913
Jonathan Calleri,La Liga,2017-18,64.0,27.0,62.0,1.88,32.0,37,84.02702702702703
Jonathan Viera,La Liga,2017-18,179.0,63.0,81.6,5.69,139.0,23,86.65217391304348
Leandro Chichizola,La Liga,2017-18,0.0,1.0,70.7,0.19,9.0,27,90.0
Loïc Rémy,La Liga,2017-18,14.0,5.0,77.8,2.47,7.0,12,63.833333333333336
Matías Aguirregaray,La Liga,2017-18,57.0,5.0,74.4,1.48,42.0,15,76.86666666666666
Mauricio Lemos,La Liga,2017-18,34.0,4.0,87.8,0.71,35.0,16,78.8125
Michel,La Liga,2017-18,78.0,23.0,80.3,1.52,51.0,28,76.07142857142857
Momo,La Liga,2017-18,39.0,14.0,77.2,3.21,37.0,13,51.76923076923077
Nacho Gil,La Liga,2017-18,24.0,10.0,75.3,2.35,14.0,14,52.07142857142857
Oghenekaro Etebo,La Liga,2017-18,62.0,7.0,84.5,2.3,52.0,14,86.78571428571429
Oussama Tannane,La Liga,2017-18,17.0,8.0,72.9,2.98,11.0,10,57.3
Pedro Bigas,La Liga,2017-18,32.0,5.0,87.6,1.11,24.0,12,74.5
Raúl Lizoain,La Liga,2017-18,0.0,0.0,77.3,0.09,0.0,11,90.0
Sergi Samper,La Liga,2017-18,4.0,0.0,82.1,0.63,2.0,2,71.5
Sergio Araujo,La Liga,2017-18,0.0,0.0,95.2,4.62,3.0,2,19.5
Tana,La Liga,2017-18,94.0,21.0,83.4,3.36,62.0,24,64.66666666666667
Vicente Gómez,La Liga,2017-18,56.0,5.0,86.9,1.06,39.0,25,61.0
Vitolo,La Liga,2017-18,34.0,7.0,83.2,3.79,19.0,9,76.55555555555556
Ximo Navarro,La Liga,2017-18,76.0,5.0,82.4,0.48,56.0,31,84.12903225806451
Álex Gálvez,La Liga,2017-18,63.0,1.0,80.9,0.44,58.0,18,89.94444444444444
Alejandro Gutiérrez Mozo,La Liga,2017-18,2.0,0.0,77.8,0.0,0.0,1,45.0
Alexander,La Liga,2017-18,26.0,19.0,68.4,2.97,13.0,13,81.53846153846153
Claudio Beauvue,La Liga,2017-18,22.0,9.0,64.8,1.94,15.0,28,59.714285714285715
Darko Brašanac,La Liga,2017-18,34.0,17.0,79.0,2.4,28.0,23,52.30434782608695
Diego Rico,La Liga,2017-18,107.0,27.0,67.1,2.3,83.0,26,85.6923076923077
Dimitris Siovas,La Liga,2017-18,44.0,2.0,73.5,0.61,21.0,24,85.70833333333333
Erik Morán,La Liga,2017-18,13.0,0.0,73.0,0.0,11.0,6,38.0
Ezequiel Muñoz,La Liga,2017-18,10.0,5.0,76.7,0.38,6.0,19,74.05263157894737
Gabriel,La Liga,2017-18,117.0,21.0,66.2,2.46,115.0,29,81.96551724137932
Gerard Gumbau,La Liga,2017-18,49.0,5.0,77.9,1.13,62.0,25,57.36
Iván Cuéllar,La Liga,2017-18,0.0,2.0,44.7,0.17,42.0,35,90.0
Jaime Sierra Mateos,La Liga,2017-18,0.0,0.0,60.0,0.0,0.0,2,14.0
Javier Eraso,La Liga,2017-18,75.0,33.0,71.2,2.2,53.0,34,74.5
Jon Ander Serantes,La Liga,2017-18,0.0,0.0,36.4,0.0,1.0,1,90.0
Joseba Zaldúa,La Liga,2017-18,100.0,15.0,72.9,1.76,70.0,30,85.23333333333333
Martín Mantovani,La Liga,2017-18,20.0,2.0,77.3,0.35,17.0,14,73.0
Mauro dos Santos,La Liga,2017-18,15.0,0.0,75.6,0.18,21.0,14,70.21428571428571
Miguel Ángel Guerrero,La Liga,2017-18,18.0,14.0,75.7,1.87,13.0,22,65.54545454545455
Nabil El Zhar,La Liga,2017-18,97.0,25.0,72.8,2.77,55.0,30,66.03333333333333
Naranjo,La Liga,2017-18,10.0,7.0,69.8,2.09,9.0,16,35.125
Nereo Champagne,La Liga,2017-18,0.0,0.0,55.2,0.5,1.0,2,90.0
Nordin Amrabat,La Liga,2017-18,50.0,23.0,61.5,2.94,20.0,30,54.1
Omar Ramos,La Liga,2017-18,47.0,22.0,70.7,2.67,29.0,23,62.95652173913044
Raúl García,La Liga,2017-18,36.0,25.0,66.7,2.13,29.0,19,73.26315789473684
Rubén Pérez,La Liga,2017-18,161.0,14.0,76.0,1.36,168.0,31,81.16129032258064
Sergio Arribas,La Liga,2017-18,0.0,0.0,90.0,0.0,0.0,1,23.0
Tito,La Liga,2017-18,21.0,0.0,73.1,0.44,13.0,9,67.77777777777777
Unai Bustinza,La Liga,2017-18,37.0,4.0,78.1,0.88,31.0,20,81.85
Aly Abeid,La Liga,2017-18,1.0,1.0,76.3,2.34,0.0,1,77.0
Antonio Luna,La Liga,2017-18,67.0,14.0,68.3,1.2,58.0,23,87.8695652173913
Armando Sadiku,La Liga,2017-18,6.0,1.0,74.6,1.69,5.0,6,44.5
Cheick Doukouré,La Liga,2017-18,31.0,4.0,81.6,1.23,24.0,19,53.78947368421053
Chema,La Liga,2017-18,49.0,4.0,77.2,0.45,36.0,25,80.68
Coke,La Liga,2017-18,67.0,11.0,72.6,1.63,43.0,17,81.3529411764706
Emmanuel Boateng,La Liga,2017-18,21.0,7.0,62.7,2.61,18.0,25,51.04
Enes Ünal,La Liga,2017-18,9.0,5.0,74.3,2.27,7.0,7,85.14285714285714
Enis Bardhi,La Liga,2017-18,91.0,23.0,76.1,3.25,83.0,26,60.76923076923077
Erick Cabaco,La Liga,2017-18,22.0,1.0,71.6,0.43,15.0,14,74.28571428571429
Fahad Al Muwallad,La Liga,2017-18,0.0,0.0,66.7,0.0,0.0,2,13.5
Giampaolo Pazzini,La Liga,2017-18,4.0,0.0,65.2,0.81,3.0,9,49.44444444444444
Hacen,La Liga,2017-18,0.0,0.0,62.5,0.0,0.0,2,40.5
Ivi,La Liga,2017-18,82.0,23.0,65.6,2.96,41.0,29,60.758620689655174
Iván López,La Liga,2017-18,8.0,1.0,74.0,1.56,5.0,3,57.666666666666664
Jason,La Liga,2017-18,55.0,26.0,64.2,2.92,21.0,27,66.14814814814815
Jefferson Lerma,La Liga,2017-18,106.0,19.0,81.1,1.94,92.0,26,82.11538461538461
José Campaña,La Liga,2017-18,232.0,49.0,79.9,3.28,157.0,35,78.11428571428571
José Luis Morales,La Liga,2017-18,112.0,47.0,62.6,3.21,59.0,35,87.37142857142857
Koke Vegas,La Liga,2017-18,0.0,0.0,51.7,0.0,0.0,1,90.0
Nano,La Liga,2017-18,4.0,1.0,61.0,1.94,1.0,9,31.0
Oier Olazábal,La Liga,2017-18,0.0,0.0,52.7,0.12,22.0,26,90.0
Pedro López Muñoz,La Liga,2017-18,56.0,7.0,73.7,1.24,40.0,21,75.9047619047619
Raúl Fernández,La Liga,2017-18,0.0,0.0,53.5,0.36,16.0,11,90.0
Rober,La Liga,2017-18,45.0,2.0,81.6,0.57,34.0,25,76.36
Roger Martí,La Liga,2017-18,24.0,10.0,70.1,2.06,14.0,17,56.64705882352941
Rubén Rochina,La Liga,2017-18,15.0,1.0,72.1,3.58,14.0,5,30.2
Samu García,La Liga,2017-18,3.0,3.0,57.1,1.88,6.0,11,17.363636363636363
Saša Lukić,La Liga,2017-18,32.0,9.0,83.8,1.72,23.0,16,62.125
Sergio Postigo,La Liga,2017-18,71.0,5.0,79.9,0.67,76.0,30,80.83333333333333
Shaq Moore,La Liga,2017-18,16.0,3.0,75.2,1.27,12.0,6,70.66666666666667
Toño,La Liga,2017-18,49.0,7.0,75.2,1.67,44.0,12,90.0
Álex Alegría,La Liga,2017-18,8.0,3.0,67.7,1.58,10.0,9,69.77777777777777
Adalberto Peñaranda,La Liga,2017-18,18.0,10.0,77.5,3.82,11.0,13,61.69230769230769
Adrián González,La Liga,2017-18,114.0,18.0,79.2,1.79,103.0,29,80.6896551724138
Alberto Bueno,La Liga,2017-18,5.0,4.0,79.6,3.2,9.0,11,20.545454545454547
Alberto López,La Liga,2017-18,0.0,0.0,77.3,0.0,1.0,1,45.0
Andrés Prieto,La Liga,2017-18,0.0,0.0,41.8,0.5,3.0,4,90.0
Borja Bastón,La Liga,2017-18,8.0,4.0,72.5,1.92,5.0,20,49.25
Brown Ideye,La Liga,2017-18,12.0,3.0,68.6,1.6,10.0,13,56.38461538461539
Chory Castro,La Liga,2017-18,100.0,32.0,66.3,2.66,74.0,26,79.26923076923077
Cifu,La Liga,2017-18,6.0,2.0,76.5,7.5,5.0,2,54.0
Diego González,La Liga,2017-18,22.0,3.0,72.7,0.69,26.0,18,79.38888888888889
Diego Rolán,La Liga,2017-18,57.0,20.0,77.9,2.77,37.0,26,74.84615384615384
Emanuel Cecchini,La Liga,2017-18,3.0,0.0,81.3,3.0,3.0,2,15.0
Esteban Rolón,La Liga,2017-18,10.0,1.0,76.1,0.64,7.0,8,52.25
Federico Ricca,La Liga,2017-18,40.0,6.0,65.2,1.3,36.0,14,79.21428571428571
Ignasi Miquel,La Liga,2017-18,42.0,2.0,71.1,0.56,31.0,20,88.65
Isaac Success,La Liga,2017-18,14.0,7.0,56.6,3.11,7.0,9,54.666666666666664
Iván Rodríguez,La Liga,2017-18,0.0,0.0,90.9,0.0,2.0,1,20.0
Javier Ontiveros,La Liga,2017-18,13.0,6.0,68.2,3.45,10.0,12,32.583333333333336
Jony,La Liga,2017-18,10.0,5.0,49.5,4.56,6.0,5,43.4
Juan Cruz,La Liga,2017-18,0.0,0.0,100.0,0.0,0.0,1,7.0
Juankar,La Liga,2017-18,32.0,11.0,73.6,2.07,27.0,10,78.4
Juanpi,La Liga,2017-18,26.0,12.0,78.7,3.25,18.0,16,38.125
Keko,La Liga,2017-18,29.0,14.0,68.6,2.38,18.0,21,57.57142857142857
Luis Hernández,La Liga,2017-18,105.0,6.0,78.9,0.5,88.0,36,90.0
Manuel Iturra,La Liga,2017-18,56.0,7.0,78.9,0.91,54.0,20,79.15
Maxime Lestienne,La Liga,2017-18,11.0,10.0,67.8,2.15,5.0,12,55.75
Mehdi Lacen,La Liga,2017-18,54.0,5.0,84.0,1.19,31.0,15,70.4
Miguel Torres,La Liga,2017-18,25.0,2.0,81.0,0.8,17.0,8,84.125
Paul Baysse,La Liga,2017-18,25.0,0.0,81.6,0.22,13.0,15,82.6
Recio,La Liga,2017-18,97.0,24.0,79.1,2.45,81.0,22,83.5
Roberto,La Liga,2017-18,0.0,2.0,52.0,0.09,18.0,34,90.0
Roberto Rosales,La Liga,2017-18,153.0,54.0,70.2,2.62,132.0,35,89.22857142857143
Samu García,La Liga,2017-18,3.0,1.0,60.4,1.53,1.0,7,25.285714285714285
Youssef En-Nesyri,La Liga,2017-18,23.0,10.0,55.6,1.58,13.0,25,63.84
Zdravko Kuzmanović,La Liga,2017-18,40.0,8.0,88.9,2.81,32.0,8,60.0
Álex Mula,La Liga,2017-18,15.0,2.0,72.9,1.93,14.0,11,51.0
Álex Robles,La Liga,2017-18,1.0,0.0,61.8,0.0,1.0,1,90.0
Achraf Hakimi,La Liga,2017-18,31.0,5.0,81.2,1.66,20.0,9,84.11111111111111
Borja Mayoral,La Liga,2017-18,11.0,2.0,83.5,1.57,4.0,14,24.642857142857142
Casemiro,La Liga,2017-18,145.0,23.0,87.7,2.36,155.0,30,86.5
Cristiano Ronaldo,La Liga,2017-18,99.0,38.0,77.9,3.9,44.0,27,84.62962962962963
Dani Carvajal,La Liga,2017-18,150.0,36.0,84.0,2.84,109.0,25,88.88
Dani Ceballos,La Liga,2017-18,38.0,4.0,92.9,4.49,33.0,12,33.416666666666664
Gareth Bale,La Liga,2017-18,87.0,41.0,77.4,3.55,32.0,26,69.1923076923077
Isco,La Liga,2017-18,220.0,48.0,84.8,5.89,159.0,30,59.13333333333333
Jesús Vallejo,La Liga,2017-18,18.0,0.0,87.2,0.14,9.0,7,90.0
Karim Benzema,La Liga,2017-18,98.0,44.0,82.1,3.85,59.0,32,67.1875
Keylor Navas,La Liga,2017-18,0.0,0.0,80.0,0.15,2.0,27,90.0
Kiko Casilla,La Liga,2017-18,0.0,0.0,78.7,0.0,1.0,10,90.0
Luca Zidane,La Liga,2017-18,0.0,0.0,93.8,0.0,0.0,1,90.0
Lucas Vázquez,La Liga,2017-18,94.0,51.0,80.7,5.84,47.0,33,50.878787878787875
Luka Modrić,La Liga,2017-18,254.0,39.0,88.7,4.89,196.0,26,75.76923076923077
Marcelo,La Liga,2017-18,254.0,57.0,79.7,5.02,163.0,28,80.71428571428571
Marco Asensio,La Liga,2017-18,157.0,52.0,84.0,5.22,113.0,32,57.625
Marcos Llorente,La Liga,2017-18,46.0,3.0,93.3,1.81,42.0,13,42.0
Mateo Kovačić,La Liga,2017-18,81.0,10.0,93.1,2.45,75.0,21,47.23809523809524
Nacho,La Liga,2017-18,70.0,5.0,89.0,1.13,46.0,27,76.81481481481481
Raphaël Varane,La Liga,2017-18,66.0,6.0,90.4,0.58,86.0,27,86.0
Sergio Ramos,La Liga,2017-18,145.0,14.0,89.4,1.57,156.0,26,88.03846153846153
Theo Hernández,La Liga,2017-18,45.0,8.0,84.3,2.52,43.0,13,74.07692307692308
Toni Kroos,La Liga,2017-18,274.0,64.0,88.7,5.33,251.0,27,83.74074074074075
Adnan Januzaj,La Liga,2017-18,68.0,35.0,73.7,5.1,38.0,28,56.17857142857143
Alberto de la Bella,La Liga,2017-18,59.0,16.0,79.5,1.59,56.0,17,89.88235294117646
Andoni Gorosabel,La Liga,2017-18,2.0,0.0,84.0,0.0,3.0,2,38.0
Aritz Elustondo,La Liga,2017-18,61.0,7.0,84.6,0.79,48.0,19,84.0
Asier Illarramendi,La Liga,2017-18,305.0,34.0,86.2,2.99,277.0,36,87.86111111111111
Carlos Martínez,La Liga,2017-18,1.0,0.0,60.0,0.0,1.0,1,3.0
Carlos Vela,La Liga,2017-18,28.0,9.0,76.6,6.13,15.0,13,29.384615384615383
David Zurutuza,La Liga,2017-18,118.0,11.0,84.7,1.85,125.0,31,72.3225806451613
Diego Llorente,La Liga,2017-18,89.0,0.0,88.8,0.43,81.0,27,86.14814814814815
Gerónimo Rulli,La Liga,2017-18,0.0,1.0,76.0,0.12,4.0,26,90.0
Héctor Moreno,La Liga,2017-18,28.0,2.0,86.3,1.0,22.0,8,90.0
Igor Zubeldia,La Liga,2017-18,72.0,6.0,85.8,1.25,65.0,25,63.28
Imanol Agirretxe,La Liga,2017-18,5.0,0.0,63.3,0.78,1.0,11,21.09090909090909
Iñigo Martínez,La Liga,2017-18,84.0,7.0,78.3,1.54,73.0,12,87.91666666666667
Jon Bautista,La Liga,2017-18,3.0,1.0,77.1,1.49,0.0,11,16.454545454545453
Jon Guridi,La Liga,2017-18,3.0,0.0,78.3,3.4,1.0,4,13.5
Juanmi,La Liga,2017-18,15.0,9.0,80.3,1.33,7.0,30,49.63333333333333
Kévin Rodrigues,La Liga,2017-18,65.0,15.0,78.3,1.82,56.0,20,81.75
Miguel Ángel Moyá,La Liga,2017-18,0.0,0.0,75.9,0.12,6.0,9,84.88888888888889
Mikel Oyarzabal,La Liga,2017-18,93.0,43.0,73.4,3.18,44.0,35,79.2
Raúl Navas,La Liga,2017-18,53.0,4.0,85.7,0.7,34.0,20,89.55
Rubén Pardo,La Liga,2017-18,16.0,4.0,76.4,3.26,10.0,6,36.833333333333336
Sergio Canales,La Liga,2017-18,138.0,57.0,78.7,6.03,99.0,36,53.55555555555556
Toño Ramírez,La Liga,2017-18,0.0,0.0,69.5,0.0,0.0,4,79.0
Willian José,La Liga,2017-18,59.0,40.0,73.8,2.7,34.0,34,81.47058823529412
Xabi Prieto,La Liga,2017-18,142.0,42.0,81.6,3.45,99.0,26,74.1923076923077
Álvaro Odriozola,La Liga,2017-18,98.0,46.0,81.8,2.59,54.0,35,83.37142857142857
Borja Lasso,La Liga,2017-18,5.0,1.0,74.3,1.7,2.0,1,53.0
Carlos Fernández,La Liga,2017-18,0.0,3.0,77.8,2.63,0.0,2,68.5
Clément Lenglet,La Liga,2017-18,76.0,5.0,83.4,0.45,67.0,35,85.74285714285715
Daniel Carriço,La Liga,2017-18,16.0,2.0,85.9,0.59,13.0,6,76.66666666666667
David Soria,La Liga,2017-18,0.0,0.0,72.4,0.14,3.0,15,84.26666666666667
Franco Vázquez,La Liga,2017-18,117.0,41.0,71.6,4.01,74.0,30,61.266666666666666
Gabriel Mercado,La Liga,2017-18,67.0,9.0,81.4,0.89,57.0,26,81.46153846153847
Ganso,La Liga,2017-18,33.0,8.0,81.3,3.12,32.0,8,64.875
Guido Pizarro,La Liga,2017-18,102.0,8.0,86.0,0.97,89.0,24,73.125
Guilherme Arana,La Liga,2017-18,4.0,0.0,85.4,0.93,2.0,3,64.33333333333333
Jesús Navas,La Liga,2017-18,110.0,31.0,70.6,3.37,59.0,26,67.8076923076923
Joaquín Correa,La Liga,2017-18,50.0,23.0,81.7,3.85,24.0,21,56.80952380952381
Johannes Geis,La Liga,2017-18,26.0,5.0,83.4,2.13,37.0,14,48.285714285714285
José Alonso Lara,La Liga,2017-18,0.0,0.0,75.0,0.0,1.0,1,10.0
Lionel Carole,La Liga,2017-18,24.0,3.0,81.7,1.0,17.0,6,90.0
Luis Muriel,La Liga,2017-18,47.0,20.0,73.3,2.91,27.0,29,55.44827586206897
Michael Krohn-Dehli,La Liga,2017-18,37.0,3.0,80.6,2.19,25.0,13,41.23076923076923
