rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
663,Daniel Rodriguez,ESP,FW,Barcelona,ESP-La Liga,18.0,2005.0,1,37,0,0,0,0,0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,15.0,20.0,75.0,28.0,81.8,75.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,3.0,0,2.0,0.0,4.86,0.0,,,4.86,0.0,0,2024-25,21.0
664,Eric García,ESP,"DF,MF",Barcelona,ESP-La Liga,23.0,2001.0,29,1566,2,3,5,2,0,2.3,2.3,18.0,109.0,0.11,0.17,38.0,21.0,69.0,8.0,16.0,14.0,41.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1234.0,1340.0,92.1,7124.0,93.1,95.4,78.0,7.0,142.0,14.0,66.0,12.0,41.7,5.0,18.0,12.0,1.0,17.0,2,14.0,57.1,0.8,0.14,0.25,51.9,1.84,0.4,0,2024-25,25.0
665,Fermin López,ESP,"MF,FW",Barcelona,ESP-La Liga,21.0,2003.0,28,1252,6,5,11,6,0,5.6,5.6,31.0,79.0,0.43,0.36,19.0,15.0,25.0,0.0,11.0,5.0,3.0,0.0,0,0.0,0,0.0,0,0.0,0.0,552.0,675.0,81.8,2128.0,89.4,82.9,58.7,29.0,65.0,20.0,5.0,55.0,45.5,26.0,31.0,22.0,12.0,36.0,6,41.0,36.6,2.95,0.15,0.4,33.3,4.1,0.5,0,2024-25,23.0
666,Ferrán Torres,ESP,"FW,MF",Barcelona,ESP-La Liga,24.0,2000.0,27,1106,10,6,16,10,0,8.0,8.0,23.0,35.0,0.81,0.49,8.0,4.0,37.5,1.0,6.0,4.0,5.0,0.0,0,0.0,0,0.0,0,0.0,0.0,267.0,360.0,74.2,773.0,85.4,78.0,36.7,19.0,17.0,18.0,3.0,21.0,52.4,8.0,23.0,14.0,13.0,28.0,10,48.0,45.8,3.91,0.21,0.45,35.7,3.09,0.57,0,2024-25,26.0
667,Frenkie de Jong,NED,MF,Barcelona,ESP-La Liga,27.0,1997.0,26,1143,2,2,4,2,0,0.7,0.7,36.0,120.0,0.16,0.16,19.0,11.0,50.0,1.0,8.0,12.0,7.0,1.0,0,0.0,0,0.0,0,0.0,0.0,1084.0,1148.0,94.4,4702.0,97.8,95.7,87.2,21.0,140.0,12.0,15.0,8.0,62.5,3.0,36.0,38.0,1.0,5.0,2,5.0,60.0,0.39,0.4,0.67,58.8,3.39,0.87,0,2024-25,29.0
668,Gavi,ESP,"MF,FW",Barcelona,ESP-La Liga,19.0,2004.0,26,1085,1,1,2,1,0,0.9,0.9,13.0,77.0,0.08,0.08,30.0,21.0,57.7,1.0,13.0,10.0,7.0,0.0,0,0.0,0,0.0,0,0.0,0.0,733.0,814.0,90.0,2687.0,95.0,89.8,79.5,14.0,92.0,11.0,10.0,18.0,50.0,5.0,13.0,16.0,1.0,19.0,1,11.0,9.1,0.91,0.09,1.0,44.7,3.24,0.33,0,2024-25,22.0
669,Gerard Martín,ESP,DF,Barcelona,ESP-La Liga,22.0,2002.0,28,1038,1,3,4,1,0,0.5,0.5,10.0,40.0,0.09,0.26,22.0,10.0,68.8,2.0,14.0,13.0,27.0,0.0,0,0.0,0,0.0,0,0.0,0.0,656.0,789.0,83.1,2760.0,90.6,88.2,46.0,12.0,27.0,16.0,29.0,11.0,36.4,7.0,10.0,12.0,1.0,7.0,1,7.0,28.6,0.61,0.14,0.5,70.0,2.34,0.26,0,2024-25,24.0
670,Héctor Fort,ESP,DF,Barcelona,ESP-La Liga,17.0,2006.0,17,585,0,0,0,0,0,0.2,0.2,14.0,26.0,0.0,0.0,13.0,8.0,62.5,0.0,12.0,6.0,16.0,0.0,0,0.0,0,0.0,0,0.0,0.0,448.0,497.0,90.1,1464.0,94.9,89.4,83.3,10.0,27.0,3.0,18.0,9.0,22.2,7.0,14.0,15.0,2.0,4.0,0,6.0,0.0,0.92,0.0,,30.0,2.46,0.15,0,2024-25,20.0
671,Iñaki Peña,ESP,GK,Barcelona,ESP-La Liga,25.0,1999.0,16,1396,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0,0.0,0,0.0,0,0.0,0.0,562.0,630.0,89.2,7084.0,99.0,99.2,55.2,0.0,0.0,0.0,472.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,,100.0,0.13,0.13,0,2024-25,27.0
672,Iñigo Martínez,ESP,DF,Barcelona,ESP-La Liga,33.0,1991.0,28,2490,0,4,4,0,0,0.5,0.5,70.0,260.0,0.0,0.14,25.0,14.0,72.7,7.0,11.0,18.0,108.0,1.0,0,0.0,0,0.0,0,0.0,0.0,2217.0,2435.0,91.0,14576.0,94.7,95.0,72.2,16.0,259.0,9.0,146.0,3.0,100.0,0.0,70.0,53.0,0.0,11.0,0,13.0,15.4,0.47,0.0,0.0,63.7,1.63,0.33,0,2024-25,35.0
