rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
1,Ainsley Maitland-Niles,ENG,DF,Arsenal,ENG-Premier League,21.0,1997.0,20,1386,0,2,2,0,0,0.4,0.4,38.0,61.0,0.0,0.13,41.0,23.0,51.2,3.0,9.0,28.0,38.0,0.0,0,0.0,0,0.0,0,0.0,0.0,841.0,1025.0,82.0,4193.0,88.8,84.1,55.8,11.0,44.0,13.0,71.0,34.0,55.9,15.0,38.0,23.0,9.0,17.0,0,4.0,25.0,0.26,0.0,0.0,58.6,1.36,0.19,0,2019-20,29.0
2,Alexandre Lacazette,FRA,FW,Arsenal,ENG-Premier League,28.0,1991.0,30,1874,10,4,14,10,0,8.1,8.1,21.0,49.0,0.48,0.19,31.0,16.0,37.5,0.0,14.0,7.0,15.0,0.0,0,0.0,0,0.0,0,0.0,0.0,391.0,521.0,75.0,1084.0,85.9,75.0,53.7,24.0,25.0,23.0,21.0,47.0,51.1,23.0,21.0,9.0,5.0,54.0,10,52.0,50.0,2.5,0.19,0.38,31.3,3.27,0.58,0,2019-20,35.0
3,Bernd Leno,GER,GK,Arsenal,ENG-Premier League,27.0,1992.0,30,2649,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0,0.0,0,0.0,0,0.0,0.0,762.0,990.0,77.0,10417.0,99.5,99.3,33.9,0.0,2.0,0.0,950.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,0.0,,,80.0,0.0,0.0,0,2019-20,34.0
4,Bukayo Saka,ENG,"DF,FW",Arsenal,ENG-Premier League,17.0,2001.0,26,1753,1,5,6,1,0,1.0,1.0,67.0,67.0,0.05,0.26,36.0,21.0,51.4,3.0,9.0,12.0,19.0,0.0,0,0.0,0,0.0,0,0.0,0.0,646.0,845.0,76.4,2699.0,88.2,77.5,42.3,21.0,37.0,19.0,35.0,55.0,58.2,23.0,67.0,41.0,24.0,42.0,1,13.0,30.8,0.67,0.08,0.25,14.6,2.46,0.36,0,2019-20,25.0
5,Calum Chambers,ENG,DF,Arsenal,ENG-Premier League,24.0,1995.0,14,1102,1,1,2,1,0,0.8,0.8,16.0,45.0,0.08,0.08,26.0,10.0,68.8,7.0,6.0,16.0,43.0,1.0,0,0.0,0,0.0,0,0.0,0.0,732.0,915.0,80.0,4397.0,88.8,85.7,59.8,7.0,46.0,6.0,116.0,17.0,64.7,6.0,16.0,10.0,0.0,15.0,1,12.0,16.7,0.98,0.08,0.5,54.5,1.39,0.16,0,2019-20,31.0
6,Cédric Soares,POR,"MF,DF",Arsenal,ENG-Premier League,27.0,1991.0,5,249,1,0,1,1,0,0.0,0.0,6.0,11.0,0.36,0.0,8.0,6.0,33.3,0.0,3.0,3.0,4.0,0.0,0,0.0,0,0.0,0,0.0,0.0,96.0,135.0,71.1,437.0,85.9,57.5,53.3,1.0,6.0,2.0,6.0,2.0,100.0,0.0,6.0,6.0,0.0,4.0,1,1.0,100.0,0.36,1.0,1.0,40.0,1.81,1.08,0,2019-20,35.0
7,Dani Ceballos,ESP,MF,Arsenal,ENG-Premier League,22.0,1996.0,24,1692,0,2,2,0,0,0.6,0.6,60.0,174.0,0.0,0.11,45.0,23.0,29.5,3.0,11.0,32.0,16.0,1.0,0,0.0,0,0.0,0,0.0,0.0,1114.0,1329.0,83.8,5446.0,92.2,90.2,59.9,28.0,120.0,29.0,50.0,36.0,75.0,9.0,60.0,52.0,8.0,25.0,0,13.0,23.1,0.69,0.0,0.0,27.3,2.98,0.37,0,2019-20,30.0
8,David Luiz,BRA,DF,Arsenal,ENG-Premier League,32.0,1987.0,33,2809,2,1,3,2,0,1.6,1.6,21.0,106.0,0.06,0.03,28.0,16.0,54.2,37.0,5.0,32.0,133.0,2.0,0,0.0,0,0.0,0,0.0,0.0,1537.0,1816.0,84.6,11723.0,90.0,94.8,61.5,4.0,100.0,9.0,331.0,8.0,62.5,3.0,21.0,13.0,1.0,16.0,2,23.0,34.8,0.74,0.09,0.25,55.4,0.38,0.1,0,2019-20,39.0
9,Eddie Nketiah,ENG,FW,Arsenal,ENG-Premier League,20.0,1999.0,13,633,2,0,2,2,0,3.1,3.1,19.0,16.0,0.28,0.0,7.0,5.0,33.3,0.0,9.0,2.0,5.0,0.0,0,0.0,0,0.0,0,0.0,0.0,105.0,141.0,74.5,247.0,81.9,77.6,60.0,5.0,6.0,3.0,8.0,17.0,58.8,7.0,19.0,5.0,5.0,21.0,2,15.0,33.3,2.13,0.13,0.4,46.7,1.71,0.14,0,2019-20,27.0
10,Emile Smith Rowe,ENG,MF,Arsenal,ENG-Premier League,19.0,2000.0,2,97,0,0,0,0,0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,33.3,0.0,0.0,1.0,2.0,0.0,0,0.0,0,0.0,0,0.0,0.0,30.0,36.0,83.3,57.0,90.9,75.0,0.0,0.0,2.0,0.0,2.0,3.0,66.7,1.0,4.0,4.0,0.0,4.0,0,0.0,,0.0,,,,0.0,0.0,0,2019-20,26.0
