rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
1,Aaron Ramsdale,ENG,GK,Arsenal,ENG-Premier League,25.0,1998.0,6,540,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,2.0,0,0.0,0,0.0,0,0.0,0.0,131.0,188.0,69.7,2420.0,100.0,98.4,37.2,0.0,4.0,0.0,140.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,,0.0,,,,0.0,0.0,0,2023-24,28.0
2,Ben White,ENG,DF,Arsenal,ENG-Premier League,25.0,1997.0,37,2988,4,4,8,4,0,1.2,1.2,44.0,192.0,0.12,0.12,48.0,28.0,44.8,22.0,26.0,32.0,77.0,1.0,0,0.0,0,0.0,0,0.0,0.0,1828.0,2177.0,84.0,9801.0,90.9,85.7,49.7,38.0,172.0,45.0,120.0,22.0,40.9,12.0,44.0,34.0,9.0,26.0,4,13.0,46.2,0.39,0.31,0.67,62.1,2.59,0.21,0,2023-24,29.0
3,Bukayo Saka,ENG,FW,Arsenal,ENG-Premier League,21.0,2001.0,35,2919,16,9,25,10,6,15.5,10.8,155.0,126.0,0.49,0.28,66.0,35.0,44.1,2.0,41.0,15.0,24.0,1.0,0,0.0,0,0.0,0,0.0,0.0,1143.0,1512.0,75.6,4402.0,88.9,77.5,43.7,91.0,39.0,73.0,37.0,122.0,40.2,54.0,155.0,68.0,72.0,56.0,16,102.0,30.4,3.14,0.1,0.32,39.0,5.8,0.65,0,2023-24,25.0
4,Cédric Soares,POR,DF,Arsenal,ENG-Premier League,31.0,1991.0,3,62,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,60.0,69.0,87.0,157.0,95.1,88.2,62.5,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,0.0,0,2023-24,35.0
5,David Raya,ESP,GK,Arsenal,ENG-Premier League,27.0,1995.0,32,2880,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,8.0,5.0,0,0.0,0,0.0,0,0.0,0.0,800.0,1068.0,74.9,14108.0,98.7,99.0,41.7,0.0,30.0,0.0,764.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,,0.0,,,83.3,0.12,0.0,0,2023-24,31.0
6,Declan Rice,ENG,MF,Arsenal,ENG-Premier League,24.0,1999.0,38,3225,7,8,15,7,0,3.3,3.3,75.0,278.0,0.2,0.22,83.0,51.0,56.1,11.0,26.0,44.0,52.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2041.0,2295.0,88.9,9378.0,92.9,93.3,65.2,47.0,240.0,39.0,100.0,46.0,45.7,20.0,75.0,70.0,16.0,31.0,7,58.0,34.5,1.62,0.12,0.35,47.6,2.79,0.33,0,2023-24,27.0
7,Eddie Nketiah,ENG,FW,Arsenal,ENG-Premier League,24.0,1999.0,27,1082,5,2,7,5,0,4.5,4.5,22.0,20.0,0.42,0.17,12.0,7.0,28.6,0.0,11.0,4.0,4.0,0.0,0,0.0,0,0.0,0,0.0,0.0,168.0,215.0,78.1,267.0,83.1,83.3,75.0,9.0,7.0,5.0,5.0,30.0,26.7,15.0,22.0,12.0,11.0,38.0,5,38.0,31.6,3.16,0.13,0.42,46.0,2.33,0.67,0,2023-24,27.0
8,Emile Smith Rowe,ENG,MF,Arsenal,ENG-Premier League,23.0,2000.0,13,353,0,1,1,0,0,2.0,2.0,11.0,23.0,0.0,0.25,4.0,1.0,50.0,1.0,2.0,3.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0.0,188.0,213.0,88.3,496.0,89.5,94.7,25.0,4.0,13.0,11.0,1.0,7.0,42.9,3.0,11.0,8.0,1.0,6.0,0,15.0,33.3,3.82,0.0,0.0,37.5,3.31,0.51,0,2023-24,26.0
9,Ethan Nwaneri,ENG,FW,Arsenal,ENG-Premier League,16.0,2007.0,1,14,0,0,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,15.0,18.0,83.3,56.0,76.9,100.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0.0,,0.0,,,100.0,6.43,0.0,0,2023-24,19.0
10,Fabio Vieira,POR,"MF,FW",Arsenal,ENG-Premier League,23.0,2000.0,11,297,1,2,3,0,1,1.3,0.5,12.0,15.0,0.3,0.61,3.0,2.0,100.0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0.0,0,0.0,0.0,122.0,150.0,81.3,421.0,89.3,83.0,52.9,5.0,12.0,6.0,2.0,9.0,22.2,6.0,12.0,3.0,6.0,7.0,1,6.0,16.7,1.82,0.0,0.0,100.0,3.64,1.52,0,2023-24,26.0
