rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
1,Aaron Ramsey,WAL,MF,Arsenal,ENG-Premier League,27.0,1990.0,28,1331,4,6,10,4,0,3.4,3.4,47.0,88.0,0.27,0.41,34.0,18.0,28.0,1.0,6.0,9.0,3.0,0.0,0,0.0,0,0.0,0,0.0,0.0,652.0,807.0,80.8,2275.0,87.8,85.0,72.9,25.0,51.0,16.0,9.0,23.0,52.2,11.0,47.0,42.0,6.0,35.0,4,33.0,39.4,2.23,0.12,0.31,39.4,3.25,0.68,0,2018-19,36.0
2,Ainsley Maitland-Niles,ENG,DF,Arsenal,ENG-Premier League,20.0,1997.0,16,987,1,1,2,1,0,0.9,0.9,32.0,60.0,0.09,0.09,33.0,22.0,50.0,4.0,18.0,19.0,15.0,2.0,0,0.0,0,0.0,0,0.0,0.0,453.0,575.0,78.8,2349.0,88.3,84.0,54.5,6.0,27.0,14.0,29.0,33.0,57.6,14.0,32.0,21.0,8.0,25.0,1,5.0,60.0,0.46,0.2,0.33,33.3,1.73,0.18,0,2018-19,29.0
3,Alex Iwobi,NGA,"FW,MF",Arsenal,ENG-Premier League,22.0,1996.0,35,1970,3,6,9,3,0,3.5,3.5,132.0,141.0,0.14,0.27,28.0,14.0,24.0,1.0,20.0,12.0,13.0,1.0,0,0.0,0,0.0,0,0.0,0.0,767.0,1028.0,74.6,3123.0,85.8,78.0,45.7,40.0,53.0,65.0,16.0,85.0,54.1,39.0,132.0,82.0,52.0,69.0,3,35.0,40.0,1.6,0.09,0.21,16.0,3.84,0.5,0,2018-19,30.0
4,Alexandre Lacazette,FRA,FW,Arsenal,ENG-Premier League,27.0,1991.0,35,2502,13,8,21,13,0,11.7,11.7,45.0,92.0,0.47,0.29,35.0,16.0,17.9,1.0,26.0,15.0,31.0,0.0,0,0.0,0,0.0,0,0.0,0.0,581.0,807.0,72.0,1895.0,79.4,70.5,55.8,31.0,36.0,39.0,32.0,69.0,66.7,23.0,45.0,30.0,22.0,69.0,13,81.0,34.6,2.91,0.16,0.46,33.1,3.02,0.54,0,2018-19,35.0
5,Bernd Leno,GER,GK,Arsenal,ENG-Premier League,26.0,1992.0,32,2836,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,6.0,0,0.0,0,0.0,0,0.0,0.0,817.0,1105.0,73.9,14746.0,99.3,99.3,44.8,0.0,3.0,0.0,1035.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,,87.5,0.0,0.0,0,2018-19,34.0
6,Bukayo Saka,ENG,FW,Arsenal,ENG-Premier League,16.0,2001.0,1,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,,,0.0,0.0,0,2018-19,25.0
7,Carl Jenkinson,ENG,DF,Arsenal,ENG-Premier League,26.0,1992.0,3,166,0,0,0,0,0,0.0,0.0,2.0,7.0,0.0,0.0,3.0,2.0,66.7,3.0,1.0,0.0,2.0,0.0,0,0.0,0,0.0,0,0.0,0.0,71.0,91.0,78.0,261.0,84.6,86.1,33.3,1.0,2.0,1.0,6.0,0.0,,0.0,2.0,2.0,1.0,5.0,0,0.0,,0.0,,,33.3,1.08,0.0,0,2018-19,34.0
8,Danny Welbeck,ENG,"FW,MF",Arsenal,ENG-Premier League,27.0,1990.0,8,153,1,1,2,1,0,0.8,0.8,6.0,10.0,0.59,0.59,3.0,2.0,,0.0,2.0,1.0,2.0,0.0,0,0.0,0,0.0,0,0.0,0.0,40.0,54.0,74.1,237.0,76.0,70.0,100.0,5.0,8.0,3.0,2.0,6.0,33.3,4.0,6.0,5.0,3.0,5.0,1,4.0,50.0,2.35,0.25,0.5,33.3,3.53,0.59,0,2018-19,36.0
9,Denis Suárez,ESP,"MF,FW",Arsenal,ENG-Premier League,24.0,1994.0,4,71,0,0,0,0,0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,32.0,36.0,88.9,53.0,100.0,88.9,100.0,0.0,1.0,1.0,0.0,10.0,40.0,6.0,3.0,3.0,0.0,3.0,0,0.0,,0.0,,,,0.0,0.0,0,2018-19,32.0
10,Eddie Nketiah,ENG,"MF,FW",Arsenal,ENG-Premier League,19.0,1999.0,5,67,1,0,1,1,0,0.2,0.2,3.0,1.0,1.34,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0.0,18.0,21.0,85.7,48.0,100.0,100.0,0.0,1.0,0.0,1.0,0.0,4.0,50.0,2.0,3.0,1.0,2.0,2.0,1,3.0,33.3,4.03,0.33,1.0,0.0,6.72,0.0,0,2018-19,27.0
