league,season,team,player,nation,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Premier League,2020-21,Brighton,Tariq Lamptey,GHA,19,2000,11,11,886,9.8,1,1,2,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2
Premier League,2020-21,Brighton,Yves Bissouma,MLI,23,1996,36,35,3111,34.6,1,0,1,1,0,0,8,1,0.03,0.0,0.03,0.03,0.03
Premier League,2020-21,Burnley,Ashley Westwood,ENG,30,1990,38,38,3410,37.9,3,3,6,3,0,0,7,0,0.08,0.08,0.16,0.08,0.16
Premier League,2020-21,Burnley,Dale Stephens,ENG,31,1989,7,3,261,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Burnley,Dwight McNeil,ENG,20,1999,36,34,3069,34.1,2,5,7,2,0,0,1,0,0.06,0.15,0.21,0.06,0.21
Premier League,2020-21,Burnley,Erik Pieters,NED,31,1988,20,13,1266,14.1,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07
Premier League,2020-21,Burnley,Jack Cork,ENG,31,1989,16,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Burnley,Jay Rodriguez,ENG,31,1989,31,12,1265,14.1,1,2,3,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21
Premier League,2020-21,Burnley,Josh Benson,ENG,20,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Burnley,Josh Brownhill,ENG,24,1995,33,32,2813,31.3,0,1,1,0,0,0,2,0,0.0,0.03,0.03,0.0,0.03
Premier League,2020-21,Burnley,Jóhann Berg Guðmundsson,ISL,29,1990,22,16,1363,15.1,2,0,2,2,0,0,2,0,0.13,0.0,0.13,0.13,0.13
Premier League,2020-21,Burnley,Lewis Richardson,ENG,17,2003,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Burnley,Robbie Brady,IRL,28,1992,19,12,1052,11.7,1,1,2,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17
Premier League,2020-21,Chelsea,Ben Chilwell,ENG,23,1996,27,27,2286,25.4,3,5,8,3,0,0,3,0,0.12,0.2,0.31,0.12,0.31
Premier League,2020-21,Chelsea,Billy Gilmour,SCO,19,2001,5,3,261,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Chelsea,Callum Hudson-Odoi,ENG,19,2000,23,10,1059,11.8,2,3,5,2,0,0,0,0,0.17,0.25,0.42,0.17,0.42
Premier League,2020-21,Chelsea,Christian Pulisic,USA,21,1998,27,18,1738,19.3,4,2,6,4,0,0,2,0,0.21,0.1,0.31,0.21,0.31
Premier League,2020-21,Chelsea,César Azpilicueta,ESP,30,1989,26,24,2188,24.3,1,2,3,1,0,0,5,1,0.04,0.08,0.12,0.04,0.12
Premier League,2020-21,Chelsea,Emerson Palmieri,ITA,25,1994,2,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Chelsea,Hakim Ziyech,MAR,27,1993,23,15,1172,13.0,2,3,5,2,0,0,3,0,0.15,0.23,0.38,0.15,0.38
Premier League,2020-21,Chelsea,Jorginho,ITA,28,1991,28,23,2010,22.3,7,1,8,0,7,9,2,0,0.31,0.04,0.36,0.0,0.04
Premier League,2020-21,Chelsea,Kai Havertz,GER,21,1999,27,18,1520,16.9,4,3,7,4,0,0,2,0,0.24,0.18,0.41,0.24,0.41
Premier League,2020-21,Chelsea,Marcos Alonso,ESP,29,1990,13,11,960,10.7,2,0,2,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19
Premier League,2020-21,Chelsea,Mason Mount,ENG,21,1999,36,32,2890,32.1,6,5,11,5,1,1,2,0,0.19,0.16,0.34,0.16,0.31
Premier League,2020-21,Chelsea,Mateo Kovačić,CRO,26,1994,27,21,1815,20.2,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05
Premier League,2020-21,Chelsea,N'Golo Kanté,FRA,29,1991,30,24,2146,23.8,0,2,2,0,0,0,7,0,0.0,0.08,0.08,0.0,0.08
Premier League,2020-21,Chelsea,Reece James,ENG,20,1999,32,25,2373,26.4,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11
Premier League,2020-21,Chelsea,Ross Barkley,ENG,26,1993,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Chelsea,Timo Werner,GER,24,1996,35,29,2602,28.9,6,8,14,6,0,0,2,0,0.21,0.28,0.48,0.21,0.48
Premier League,2020-21,Crystal Palace,Andros Townsend,ENG,29,1991,34,25,2258,25.1,1,5,6,1,0,0,0,0,0.04,0.2,0.24,0.04,0.24
Premier League,2020-21,Crystal Palace,Eberechi Eze,ENG,22,1998,34,29,2559,28.4,4,6,10,4,0,0,3,0,0.14,0.21,0.35,0.14,0.35
