league,season,team,player,nation,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Premier League,2021-22,Tottenham Hotspur,Tanguy Ndombele,FRA,24,1996,9,6,484,5.4,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37
Premier League,2021-22,Watford,Cucho,COL,22,1999,25,11,1147,12.7,5,2,7,5,0,0,3,0,0.39,0.16,0.55,0.39,0.55
Premier League,2021-22,Watford,Dan Gosling,ENG,31,1990,4,2,166,1.8,1,0,1,1,0,0,0,0,0.54,0.0,0.54,0.54,0.54
Premier League,2021-22,Watford,Edo Kayembe,COD,23,1998,13,9,799,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Watford,Emmanuel Dennis,NGA,23,1997,33,30,2581,28.7,10,6,16,10,0,0,9,1,0.35,0.21,0.56,0.35,0.56
Premier League,2021-22,Watford,Imran Louza,MAR,22,1999,20,17,1416,15.7,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Watford,Ismaila Sarr,SEN,23,1998,22,21,1861,20.7,5,2,7,5,0,1,2,0,0.24,0.1,0.34,0.24,0.34
Premier League,2021-22,Watford,Joshua King,NOR,29,1992,32,27,2248,25.0,5,3,8,4,1,1,5,0,0.2,0.12,0.32,0.16,0.28
Premier League,2021-22,Watford,João Pedro,BRA,19,2001,28,15,1644,18.3,3,1,4,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22
Premier League,2021-22,Watford,Juraj Kucka,SVK,34,1987,26,22,1920,21.3,1,1,2,1,0,0,5,1,0.05,0.05,0.09,0.05,0.09
Premier League,2021-22,Watford,Ken Sema,SWE,27,1993,18,7,852,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Watford,Moussa Sissoko,FRA,31,1989,36,36,3220,35.8,2,1,3,2,0,0,5,0,0.06,0.03,0.08,0.06,0.08
Premier League,2021-22,Watford,Oghenekaro Etebo,NGA,25,1995,9,4,401,4.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Watford,Ozan Tufan,TUR,26,1995,7,4,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Watford,Tom Cleverley,ENG,31,1989,28,20,1616,18.0,0,2,2,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11
Premier League,2021-22,West Ham United,Alex Král,CZE,23,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,West Ham United,Andriy Yarmolenko,UKR,31,1989,19,1,316,3.5,1,0,1,1,0,0,1,0,0.28,0.0,0.28,0.28,0.28
Premier League,2021-22,West Ham United,Arthur Masuaku,COD,27,1993,13,6,650,7.2,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28
Premier League,2021-22,West Ham United,Ben Johnson,ENG,21,2000,20,16,1397,15.5,1,0,1,1,0,0,1,0,0.06,0.0,0.06,0.06,0.06
Premier League,2021-22,West Ham United,Daniel Chesters,ENG,19,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,West Ham United,Declan Rice,ENG,22,1999,36,35,3179,35.3,1,4,5,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14
Premier League,2021-22,West Ham United,Harrison Ashby,SCO,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,West Ham United,Jarrod Bowen,ENG,24,1996,36,34,2983,33.1,12,10,22,12,0,0,6,0,0.36,0.3,0.66,0.36,0.66
Premier League,2021-22,West Ham United,Manuel Lanzini,ARG,28,1993,30,19,1786,19.8,5,3,8,2,3,3,2,0,0.25,0.15,0.4,0.1,0.25
Premier League,2021-22,West Ham United,Mark Noble,ENG,34,1987,11,3,332,3.7,1,0,1,0,1,2,0,0,0.27,0.0,0.27,0.0,0.0
Premier League,2021-22,West Ham United,Nikola Vlašić,CRO,23,1997,19,6,560,6.2,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16
Premier League,2021-22,West Ham United,Pablo Fornals,ESP,25,1996,36,32,2795,31.1,6,3,9,6,0,0,4,0,0.19,0.1,0.29,0.19,0.29
Premier League,2021-22,West Ham United,Saïd Benrahma,ALG,25,1995,32,26,2168,24.1,8,6,14,8,0,0,0,0,0.33,0.25,0.58,0.33,0.58
Premier League,2021-22,West Ham United,Sonny Perkins,ENG,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,West Ham United,Tomáš Souček,CZE,26,1995,35,34,3062,34.0,5,1,6,5,0,0,3,0,0.15,0.03,0.18,0.15,0.18
Premier League,2021-22,Wolves,Adama Traoré,ESP,25,1996,20,10,1067,11.9,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08
Premier League,2021-22,Wolves,Chem Campbell,WAL,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Wolves,Chiquinho,POR,21,2000,8,1,208,2.3,0,3,3,0,0,0,0,0,0.0,1.3,1.3,0.0,1.3
Premier League,2021-22,Wolves,Daniel Podence,POR,25,1995,26,15,1484,16.5,2,3,5,2,0,0,2,0,0.12,0.18,0.3,0.12,0.3
Premier League,2021-22,Wolves,Fernando Marçal,BRA,32,1989,18,17,1449,16.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Wolves,Francisco Trincão,POR,21,1999,28,16,1336,14.8,2,1,3,2,0,0,0,0,0.13,0.07,0.2,0.13,0.2
Premier League,2021-22,Wolves,Hwang Hee-chan,KOR,25,1996,30,20,1816,20.2,5,1,6,5,0,0,2,0,0.25,0.05,0.3,0.25,0.3
Premier League,2021-22,Wolves,Jonny Castro,ESP,27,1994,13,10,1024,11.4,2,0,2,2,0,0,1,0,0.18,0.0,0.18,0.18,0.18
Premier League,2021-22,Wolves,João Moutinho,POR,34,1986,35,34,2970,33.0,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09
Premier League,2021-22,Wolves,Ki-Jana Hoever,NED,19,2002,8,4,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Wolves,Leander Dendoncker,BEL,26,1995,30,21,1950,21.7,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18
Premier League,2021-22,Wolves,Luke Cundle,ENG,19,2002,4,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Wolves,Morgan Gibbs-White,ENG,21,2000,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2021-22,Wolves,Nélson Semedo,POR,27,1993,25,25,2131,23.7,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04
Premier League,2021-22,Wolves,Pedro Neto,POR,21,2000,13,5,466,5.2,1,1,2,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39
Premier League,2021-22,Wolves,Rayan Aït-Nouri,ALG,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15
Premier League,2021-22,Wolves,Rúben Neves,POR,24,1997,33,31,2661,29.6,4,2,6,4,0,0,9,0,0.14,0.07,0.2,0.14,0.2
Premier League,2022-23,Arsenal,Albert Sambi Lokonga,BEL,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Arsenal,Bukayo Saka,ENG,20,2001,38,37,3181,35.3,14,11,25,12,2,3,6,0,0.4,0.31,0.71,0.34,0.65
Premier League,2022-23,Arsenal,Cédric Soares,POR,30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Arsenal,Emile Smith Rowe,ENG,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.0,1.05,1.05,0.0,1.05
Premier League,2022-23,Arsenal,Ethan Nwaneri,ENG,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Arsenal,Fabio Vieira,POR,22,2000,22,3,514,5.7,1,2,3,1,0,0,0,0,0.18,0.35,0.53,0.18,0.53
Premier League,2022-23,Arsenal,Gabriel Martinelli,BRA,21,2001,36,34,2789,31.0,15,5,20,15,0,0,3,0,0.48,0.16,0.65,0.48,0.65
Premier League,2022-23,Arsenal,Granit Xhaka,SUI,29,1992,37,36,2993,33.3,7,7,14,7,0,0,4,0,0.21,0.21,0.42,0.21,0.42
Premier League,2022-23,Arsenal,Jorginho,ITA,30,1991,14,9,855,9.5,0,1,1,0,0,0,0,0,0.0,0.11,0.11,0.0,0.11
Premier League,2022-23,Arsenal,Marquinhos,BRA,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Arsenal,Martin Ødegaard,NOR,23,1998,37,37,3127,34.7,15,7,22,15,0,0,4,0,0.43,0.2,0.63,0.43,0.63
Premier League,2022-23,Arsenal,Mohamed Elneny,EGY,30,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Arsenal,Reiss Nelson,ENG,22,1999,11,0,212,2.4,3,2,5,3,0,0,0,0,1.27,0.85,2.12,1.27,2.12
Premier League,2022-23,Arsenal,Thomas Partey,GHA,29,1993,33,28,2483,27.6,3,0,3,3,0,0,5,0,0.11,0.0,0.11,0.11,0.11
Premier League,2022-23,Aston Villa,Bertrand Traoré,BFA,26,1995,8,1,233,2.6,2,0,2,2,0,0,1,0,0.77,0.0,0.77,0.77,0.77
Premier League,2022-23,Aston Villa,Boubacar Kamara,FRA,22,1999,24,21,1777,19.7,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05
Premier League,2022-23,Aston Villa,Cameron Archer,ENG,21,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Aston Villa,Douglas Luiz,BRA,24,1998,37,33,2927,32.5,6,6,12,6,0,0,6,1,0.18,0.18,0.37,0.18,0.37
Premier League,2022-23,Aston Villa,Emi Buendía,ARG,25,1996,38,27,2412,26.8,5,2,7,5,0,0,0,0,0.19,0.07,0.26,0.19,0.26
Premier League,2022-23,Aston Villa,Jacob Ramsey,ENG,21,2001,35,31,2636,29.3,6,7,13,6,0,0,5,0,0.2,0.24,0.44,0.2,0.44
Premier League,2022-23,Aston Villa,John McGinn,SCO,27,1994,34,30,2693,29.9,1,3,4,1,0,0,7,0,0.03,0.1,0.13,0.03,0.13
Premier League,2022-23,Aston Villa,Leander Dendoncker,BEL,27,1995,20,7,697,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Aston Villa,Leon Bailey,JAM,24,1997,33,26,1967,21.9,4,4,8,4,0,0,4,0,0.18,0.18,0.37,0.18,0.37
Premier League,2022-23,Aston Villa,Morgan Sanson,FRA,27,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Aston Villa,Philippe Coutinho,BRA,30,1992,20,7,788,8.8,1,0,1,1,0,0,3,0,0.11,0.0,0.11,0.11,0.11
Premier League,2022-23,Bournemouth,Antoine Semenyo,GHA,22,2000,11,2,258,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35
Premier League,2022-23,Bournemouth,Ben Pearson,ENG,27,1995,7,3,286,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Bournemouth,Dango Ouattara,BFA,20,2002,19,15,1241,13.8,1,3,4,1,0,0,1,0,0.07,0.22,0.29,0.07,0.29
Premier League,2022-23,Bournemouth,David Brooks,WAL,25,1997,6,2,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Bournemouth,Emiliano Marcondes,DEN,27,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Bournemouth,Hamed Junior Traorè,CIV,22,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Bournemouth,Jack Stacey,ENG,26,1996,10,3,299,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Bournemouth,Jaidon Anthony,ENG,22,1999,30,11,1257,14.0,3,1,4,3,0,0,2,0,0.21,0.07,0.29,0.21,0.29
Premier League,2022-23,Bournemouth,Jamal Lowe,JAM,28,1994,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Bournemouth,Jefferson Lerma,COL,27,1994,37,37,3252,36.1,5,0,5,5,0,0,7,0,0.14,0.0,0.14,0.14,0.14
Premier League,2022-23,Bournemouth,Joe Rothwell,ENG,27,1995,20,12,1016,11.3,0,1,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09
Premier League,2022-23,Bournemouth,Jordan Zemura,ZIM,22,1999,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06
Premier League,2022-23,Bournemouth,Junior Stanislas,ENG,32,1989,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Bournemouth,Lewis Cook,ENG,25,1997,28,18,1720,19.1,0,2,2,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1
Premier League,2022-23,Bournemouth,Marcus Tavernier,ENG,23,1999,23,19,1743,19.4,5,4,9,5,0,0,1,0,0.26,0.21,0.46,0.26,0.46
Premier League,2022-23,Bournemouth,Matías Viña,URU,24,1997,12,5,458,5.1,2,0,2,2,0,0,1,0,0.39,0.0,0.39,0.39,0.39
Premier League,2022-23,Bournemouth,Philip Billing,DEN,26,1996,36,34,2764,30.7,7,1,8,7,0,0,5,0,0.23,0.03,0.26,0.23,0.26
Premier League,2022-23,Bournemouth,Ryan Christie,SCO,27,1995,32,22,1834,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1
Premier League,2022-23,Bournemouth,Siriki Dembélé,CIV,25,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brentford,Christian Nørgaard,DEN,28,1994,22,21,1763,19.6,1,3,4,1,0,0,6,0,0.05,0.15,0.2,0.05,0.2
Premier League,2022-23,Brentford,Frank Onyeka,NGA,24,1998,21,8,848,9.4,0,2,2,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21
Premier League,2022-23,Brentford,Josh Dasilva,ENG,23,1998,36,14,1389,15.4,4,2,6,4,0,0,1,0,0.26,0.13,0.39,0.26,0.39
Premier League,2022-23,Brentford,Mads Roerslev,DEN,23,1999,20,12,1108,12.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brentford,Mathias Jensen,DEN,26,1996,37,37,2803,31.1,5,6,11,5,0,0,5,0,0.16,0.19,0.35,0.16,0.35
Premier League,2022-23,Brentford,Mikkel Damsgaard,DEN,22,2000,26,9,988,11.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brentford,Rico Henry,JAM,25,1997,37,37,3238,36.0,0,2,2,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06
Premier League,2022-23,Brentford,Saman Ghoddos,IRN,28,1993,15,0,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brentford,Sergi Canós,ESP,25,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brentford,Shandon Baptiste,GRN,24,1998,23,4,618,6.9,0,1,1,0,0,0,3,1,0.0,0.15,0.15,0.0,0.15
Premier League,2022-23,Brentford,Vitaly Janelt,GER,24,1998,35,24,2208,24.5,3,1,4,3,0,0,3,0,0.12,0.04,0.16,0.12,0.16
Premier League,2022-23,Brighton,Adam Lallana,ENG,34,1988,16,12,722,8.0,2,1,3,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37
Premier League,2022-23,Brighton,Alexis Mac Allister,ARG,23,1998,35,31,2886,32.1,10,2,12,4,6,6,8,0,0.31,0.06,0.37,0.12,0.19
Premier League,2022-23,Brighton,Andrew Moran,IRL,18,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brighton,Billy Gilmour,SCO,21,2001,14,7,507,5.6,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18
Premier League,2022-23,Brighton,Cameron Peupion,AUS,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brighton,Deniz Undav,GER,26,1996,22,6,628,7.0,5,0,5,5,0,0,2,0,0.72,0.0,0.72,0.72,0.72
Premier League,2022-23,Brighton,Enock Mwepu,ZAM,24,1998,6,2,213,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42
Premier League,2022-23,Brighton,Facundo Buonanotte,ARG,17,2004,13,6,565,6.3,1,1,2,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32
Premier League,2022-23,Brighton,Jack Hinshelwood,ENG,17,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brighton,Jeremy Sarmiento,ECU,20,2002,9,1,176,2.0,0,1,1,0,0,0,1,0,0.0,0.51,0.51,0.0,0.51
Premier League,2022-23,Brighton,Julio Enciso,PAR,18,2004,20,7,806,9.0,4,2,6,4,0,0,1,0,0.45,0.22,0.67,0.45,0.67
Premier League,2022-23,Brighton,Kaoru Mitoma,JPN,25,1997,33,24,2318,25.8,7,5,12,7,0,0,0,0,0.27,0.19,0.47,0.27,0.47
Premier League,2022-23,Brighton,Leandro Trossard,BEL,27,1994,16,16,1315,14.6,7,2,9,7,0,0,1,0,0.48,0.14,0.62,0.48,0.62
Premier League,2022-23,Brighton,Moisés Caicedo,ECU,20,2001,37,34,3139,34.9,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06
Premier League,2022-23,Brighton,Pascal Groß,GER,31,1991,37,37,3239,36.0,9,8,17,9,0,0,6,0,0.25,0.22,0.47,0.25,0.47
Premier League,2022-23,Brighton,Pervis Estupiñán,ECU,24,1998,35,31,2675,29.7,1,5,6,1,0,0,4,0,0.03,0.17,0.2,0.03,0.2
Premier League,2022-23,Brighton,Solly March,ENG,28,1994,33,31,2715,30.2,6,7,13,6,0,0,2,0,0.2,0.23,0.43,0.2,0.43
Premier League,2022-23,Brighton,Tariq Lamptey,GHA,21,2000,20,3,453,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Brighton,Yasin Ayari,SWE,18,2003,3,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Chelsea,Ben Chilwell,ENG,25,1996,23,15,1408,15.6,2,2,4,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26
Premier League,2022-23,Chelsea,Carney Chukwuemeka,AUT,18,2003,14,2,354,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Chelsea,Christian Pulisic,USA,23,1998,24,8,821,9.1,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22
Premier League,2022-23,Chelsea,Conor Gallagher,ENG,22,2000,35,18,1621,18.0,3,1,4,3,0,0,11,1,0.17,0.06,0.22,0.17,0.22
Premier League,2022-23,Chelsea,César Azpilicueta,ESP,32,1989,25,16,1527,17.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Chelsea,Denis Zakaria,SUI,25,1996,7,5,411,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Chelsea,Enzo Fernández,ARG,21,2001,18,18,1547,17.2,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12
Premier League,2022-23,Chelsea,Hakim Ziyech,MAR,29,1993,18,6,661,7.3,0,3,3,0,0,0,1,0,0.0,0.41,0.41,0.0,0.41
Premier League,2022-23,Chelsea,Jorginho,ITA,30,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,0.14,0.0,0.14,0.0,0.0
Premier League,2022-23,Chelsea,João Félix,POR,22,1999,16,11,941,10.5,4,0,4,4,0,0,1,1,0.38,0.0,0.38,0.38,0.38
Premier League,2022-23,Chelsea,Kai Havertz,GER,23,1999,35,30,2569,28.5,7,1,8,6,1,1,5,0,0.25,0.04,0.28,0.21,0.25
Premier League,2022-23,Chelsea,Lewis Hall,ENG,17,2004,9,8,654,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Chelsea,Marc Cucurella,ESP,24,1998,24,21,1671,18.6,0,2,2,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11
Premier League,2022-23,Chelsea,Mason Mount,ENG,23,1999,24,20,1648,18.3,3,2,5,3,0,0,4,0,0.16,0.11,0.27,0.16,0.27
Premier League,2022-23,Chelsea,Mateo Kovačić,CRO,28,1994,27,17,1707,19.0,1,2,3,1,0,0,8,0,0.05,0.11,0.16,0.05,0.16
Premier League,2022-23,Chelsea,Mykhailo Mudryk,UKR,21,2001,15,7,657,7.3,0,2,2,0,0,0,1,0,0.0,0.27,0.27,0.0,0.27
Premier League,2022-23,Chelsea,N'Golo Kanté,FRA,31,1991,7,6,518,5.8,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17
Premier League,2022-23,Chelsea,Noni Madueke,ENG,20,2002,12,7,643,7.1,1,0,1,1,0,0,0,0,0.14,0.0,0.14,0.14,0.14
Premier League,2022-23,Chelsea,Omari Hutchinson,ENG,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Chelsea,Raheem Sterling,ENG,27,1994,28,23,1891,21.0,6,3,9,6,0,0,4,0,0.29,0.14,0.43,0.29,0.43
Premier League,2022-23,Chelsea,Reece James,ENG,22,1999,16,14,1244,13.8,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14
Premier League,2022-23,Chelsea,Ruben Loftus-Cheek,ENG,26,1996,25,19,1536,17.1,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06
Premier League,2022-23,Crystal Palace,Albert Sambi Lokonga,BEL,22,1999,9,6,536,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Crystal Palace,Cheick Doucouré,MLI,22,2000,34,34,2769,30.8,0,3,3,0,0,0,10,1,0.0,0.1,0.1,0.0,0.1
Premier League,2022-23,Crystal Palace,David Ozoh,ENG,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Crystal Palace,Eberechi Eze,ENG,24,1998,38,30,2636,29.3,10,4,14,9,1,1,3,0,0.34,0.14,0.48,0.31,0.44
Premier League,2022-23,Crystal Palace,James McArthur,SCO,34,1987,4,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Crystal Palace,Jaïro Riedewald,NED,25,1996,6,0,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Crystal Palace,Jeffrey Schlupp,GHA,29,1992,34,30,2531,28.1,3,1,4,3,0,0,7,0,0.11,0.04,0.14,0.11,0.14
Premier League,2022-23,Crystal Palace,Jordan Ayew,GHA,30,1991,38,31,2714,30.2,4,3,7,4,0,0,5,0,0.13,0.1,0.23,0.13,0.23
Premier League,2022-23,Crystal Palace,Luka Milivojević,SRB,31,1991,18,5,512,5.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Crystal Palace,Malcolm Ebiowei,ENG,18,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Crystal Palace,Michael Olise,FRA,20,2001,37,31,2749,30.5,2,11,13,2,0,0,2,0,0.07,0.36,0.43,0.07,0.43
Premier League,2022-23,Crystal Palace,Naouirou Ahamada,FRA,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Crystal Palace,Wilfried Zaha,CIV,29,1992,27,27,2288,25.4,7,2,9,7,0,2,5,0,0.28,0.08,0.35,0.28,0.35
Premier League,2022-23,Crystal Palace,Will Hughes,ENG,27,1995,27,7,842,9.4,1,1,2,1,0,0,4,0,0.11,0.11,0.21,0.11,0.21
Premier League,2022-23,Everton,Abdoulaye Doucouré,MLI,29,1993,25,17,1533,17.0,5,2,7,5,0,0,6,1,0.29,0.12,0.41,0.29,0.41
Premier League,2022-23,Everton,Alex Iwobi,NGA,26,1996,38,38,3378,37.5,2,7,9,2,0,0,2,0,0.05,0.19,0.24,0.05,0.24
Premier League,2022-23,Everton,Amadou Onana,BEL,20,2001,33,29,2488,27.6,1,2,3,1,0,0,9,0,0.04,0.07,0.11,0.04,0.11
Premier League,2022-23,Everton,Anthony Gordon,ENG,21,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,0.25,0.0,0.25,0.25,0.25
Premier League,2022-23,Everton,Dele Alli,ENG,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Everton,Demarai Gray,JAM,26,1996,33,27,2507,27.9,4,1,5,2,2,2,3,0,0.14,0.04,0.18,0.07,0.11
Premier League,2022-23,Everton,Dwight McNeil,ENG,22,1999,36,28,2498,27.8,7,3,10,7,0,0,5,0,0.25,0.11,0.36,0.25,0.36
Premier League,2022-23,Everton,Idrissa Gana Gueye,SEN,32,1989,33,32,2577,28.6,0,1,1,0,0,0,7,0,0.0,0.03,0.03,0.0,0.03
Premier League,2022-23,Everton,Isaac Price,NIR,18,2003,1,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Everton,James Garner,ENG,21,2001,16,7,804,8.9,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11
Premier League,2022-23,Everton,Nathan Patterson,SCO,20,2001,19,14,1279,14.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Everton,Rúben Vinagre,POR,23,1999,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Everton,Séamus Coleman,IRL,33,1988,23,20,1656,18.4,1,0,1,1,0,0,1,0,0.05,0.0,0.05,0.05,0.05
Premier League,2022-23,Everton,Tom Davies,ENG,24,1998,19,4,538,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Premier League,2022-23,Everton,Vitaliy Mykolenko,UKR,23,1999,34,30,2655,29.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
