player_id,player,team,league,season,age,nationality,minutes,goals_per90,assists_per90,ga_nopk_per90,shots,shots_on_target,goals_per_shot,tackles,interceptions,fouls_drawn,crosses_per90,progressive_passes_per90,key_passes_per90,pass_completion_pct,sca_per90,passes_final_third_total,xa_per90,np_xg_per90,xg_chain,xg_buildup,cluster,pc1,pc2,similarity_to_kroos
Adam Ounas_2019-20,Adam Ounas,Nice,Ligue 1,2019-20,22,ALG,1123,0.16,0.32,0.48,1.68,0.72,0.1,0.48,0.8,2.32,4.24,0.2605,0.1252,75.1,4.25,25.0,0.2516,0.1691,6.160188166424632,1.7842974960803986,3.0,2.884,2.7245,0.7195
Adama Traoré_2019-20,Adama Traoré,Wolves,Premier League,2019-20,23,ESP,2605,0.14,0.31,0.45,1.49,0.41,0.09,0.6574,0.6228,2.6644,6.2976,0.0822,0.0448,64.5,3.83,55.0,0.2613,0.1283,15.272289365530014,5.655399796552956,2.0,2.1203,-0.5221,0.5771
Adama Traoré_2019-20,Adama Traoré,Wolves,Premier League,2019-20,23,ESP,2605,0.14,0.31,0.45,1.49,0.41,0.09,0.6574,0.6228,2.6644,6.2976,0.0822,0.0448,64.5,3.83,55.0,0.2613,0.1283,15.272289365530014,5.655399796552956,3.0,3.5768,5.0867,0.5571
Adama Traoré_2019-20,Adama Traoré,Metz,Ligue 1,2019-20,24,MLI,1007,0.09,0.36,0.45,1.52,0.36,0.06,0.0893,0.4464,2.9464,3.9286,0.3575,0.2085,81.4,5.45,38.0,0.2033,0.1216,3.349742711521685,1.8585100714117289,2.0,2.1203,-0.5221,0.5771
Adama Traoré_2019-20,Adama Traoré,Metz,Ligue 1,2019-20,24,MLI,1007,0.09,0.36,0.45,1.52,0.36,0.06,0.0893,0.4464,2.9464,3.9286,0.3575,0.2085,81.4,5.45,38.0,0.2033,0.1216,3.349742711521685,1.8585100714117289,3.0,3.5768,5.0867,0.5571
Adil Aouchiche_2019-20,Adil Aouchiche,Paris Saint-Germain,Ligue 1,2019-20,17,ALG,64,0.0,0.0,0.0,0.0,0.0,0.0,2.8571,0.0,0.0,0.0,0.0,0.0,71.0,2.81,0.0,0.0,0.0,0.0990421026945114,0.0990421026945114,,,,
Admir Mehmedi_2019-20,Admir Mehmedi,Wolfsburg,Bundesliga,2019-20,28,SUI,1200,0.15,0.15,0.3,1.72,0.68,0.09,0.4511,0.3759,1.8797,3.1579,0.1964,0.0679,71.9,3.15,37.0,0.1629,0.1155,6.112823883071542,3.069345668889582,2.0,1.6266,0.2588,0.6951
Adnan Januzaj_2019-20,Adnan Januzaj,Real Sociedad,La Liga,2019-20,24,BEL,1167,0.23,0.23,0.46,1.85,0.62,0.13,0.5385,0.5385,3.0,5.0769,0.1832,0.0739,63.8,4.63,23.0,0.2187,0.1656,4.894466686993837,1.4204607978463173,3.0,2.6561,0.2075,0.6375
Adri Embarba_2019-20,Adri Embarba,Espanyol,La Liga,2019-20,27,ESP,1371,0.13,0.26,0.33,2.56,0.98,0.03,1.4474,1.0526,1.7763,7.2368,0.1131,0.0875,54.8,2.76,18.0,0.0,0.0,0.0,0.0,2.0,1.0671,-0.4632,0.4979
Adrien Hunou_2019-20,Adrien Hunou,Rennes,Ligue 1,2019-20,25,FRA,1210,0.6,0.07,0.6,2.08,1.19,0.25,1.4179,0.2985,2.5373,0.6716,0.0873,0.0453,74.6,2.6,11.0,0.0986,0.5689,7.026971682906151,1.519289584830403,3.0,3.16,-1.7105,0.4332
